Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Granada,1990-12-01,3.67,n/a,Action - Shooter - Shoot-'Em-Up - Top-Down,"Granada is the capital city of the province of Granada, in the autonomous community of Andalusia, Spain. Granada is located at the foot of the Sierra Nevada mountains, at the confluence of four rivers, the Darro, the Genil, the Monachil and the Beiro. It sits at an average elevation of 738 m (2,421 ft) above sea level, yet is only one hour by car from the Mediterranean coast, the Costa Tropical. Nearby is the Sierra Nevada Ski Station, where the FIS Alpine World Ski Championships 1996 were held",https://images.launchbox-app.com/171ecfb3-a211-4d45-8765-3f93588a7aa9.jpg
Mortal Kombat II,1994-09-01,3.67,n/a,Action - Fighting - 2D,"Mortal Kombat II (commonly abbreviated as MKII) is a fighting game originally produced by Midway for the arcades in 1993. It was later ported to multiple home systems, including the MS-DOS, Amiga, Game Boy, Sega Game Gear, Sega Genesis, Sega Saturn, Super Nintendo Entertainment System, and various PlayStation consoles, mostly in licensed versions developed by Probe Entertainment and Sculptured Software and published by Acclaim Entertainment (currently distributed by Warner Bros. Interactive Entertainment).",https://images.launchbox-app.com/2edcb594-f897-4fb7-9477-90428b777a1d.jpg
Super Monaco GP,1990,3.66,n/a,Racing - Simulation - Automobile,"Super Monaco GP (スーパーモナコGP) is a Formula One racing simulation video game released by Sega, originally as a Sega X Board arcade game in 1989, followed by ports for multiple video game consoles and home computers in the early 1990s. It is the sequel to the 1979 arcade game Monaco GP",https://images.launchbox-app.com/baa07ef7-4c04-4ef8-85bd-4b7890593d8d.jpg
Urban Strike,1994,3.66,n/a,Action - Shooter - Shoot-'Em-Up - Top-Down,"Urban Strike is a video game developed and published by Electronic Arts. It was initially released for the Sega Genesis in 1994, with ports to the Super Nintendo Entertainment System and Game Gear in 1995 and to the Game Boy in 1996. It is the third game in the Strike series, after Desert Strike: Return to the Gulf and Jungle Strike.",https://images.launchbox-app.com/227673b8-940d-447d-b8ef-d242dbfefe64.jpg
World Series Baseball,1994,3.66,n/a,Sports - Team - Baseball - Sim,"Sega Sports' World Series Baseball, or simply World Series Baseball, is a sports game developed by BlueSky Software and published by Sega for the Genesis/Mega Drive and Game Gear. It is the first game in the series and was originally released in 1994. A version for the Sega 32X, World Series Baseball starring Deion Sanders, would follow in 1995",https://images.launchbox-app.com/246bf02c-4be3-4c0b-a889-81020edaf63c.jpg
The Misadventures of Flink,Canceled,3.66,n/a,Action - Platformer - 2D,"Flink (released in North America as The Misadventures of Flink) is a 2D scrolling platform video game developed by Psygnosis. The Amiga CD32 and Sega CD versions are reliant on CD-ROM media to store large levels, highly detailed graphics, and high-quality music. The Mega Drive version is a cut-down version.",https://images.launchbox-app.com/2ac81a6a-62a0-45a2-b25d-9f8c05c4e72e.jpg
The Great Circus Mystery Starring Mickey & Minnie,1994-06-02,3.66,n/a,Action - Platformer - 2D,"Disney's Magical Quest is a Disney platform game trilogy released by Capcom. The games star Mickey Mouse and, (depending on the game version), either Minnie Mouse or Donald Duck, who must defeat Peg-Leg Pete. The gameplay is similar among all games in the series: the player must move as in a typical platform game, defeating enemies either by jumping on them or by grabbing and throwing blocks at them.",https://images.launchbox-app.com/4226d35e-35a0-460a-8902-9c2d4a54503a.jpg
Eternal Champions,1993-12-11,3.66,n/a, Action - Fighting - 2D,"Eternal Champions is a 1993 fighting game developed and published by Sega for the Sega Genesis. It was one of the few fighting games of its time developed from the ground up as a home console title, rather than being released in arcades first and later ported to home systems. Sega released Eternal Champions in hopes of capitalizing on the fighting game mania that the game industry was in the midst of following the massive success of Street Fighter II (1991) and Mortal Kombat (1992). The game tried to set itself apart with unique features such as a heavier emphasis on its story, characters pulled from different time periods, reflectable projectiles, force fields, fighters that carried weapons, a training mode where players had to defend themselves against robotic traps, a novel method of executing moves, and elaborate stage-specific finishing moves called ""Overkills""",https://images.launchbox-app.com/c5ed0879-8993-49b5-b34e-6450de508c09.jpg
"
NHL 95",1995,3.65,n/a,Sports - Team - Ice Hockey - Sim,NHL 95 (also known as NHL Hockey 95) is an ice hockey video game developed by Electronic Arts Canada. It was released in 1994 for the Super Nintendo Entertainment System and the Sega Genesis,https://images.launchbox-app.com/a24dff0b-736b-4826-9669-aa31b878f946.jpg
Ms. Pac-Man,1991,3.65,n/a,Action - Arcade,"Ms. Pac-Man is the second game in the Pac-Man series, released in arcades in February 1982. Ms. Pac-Man introduced a female protagonist, four different mazes, more colorful graphics, and several gameplay changes.",https://images.launchbox-app.com/4a13dc30-0892-4de5-86e2-2f43e7f70c22.jpg
Fantastic Dizzy,1993,3.65,n/a,Adventure - General,"The game was originally intended to be released in time for Christmas in 1990, but because of a legal action between Codemasters and Nintendo over the Game Genie the title was released in April 1991, making it miss the Christmas rush it was originally slated for. Furthermore, only sold 125,000 units instead of the expected 500,000. Despite this, the game was awarded the 'NES Adventure Game of the Year 1991' by Game Players Magazine and given the coveted 'Parents Choice Award'.",https://images.launchbox-app.com/b341ca2d-5d88-4515-82d1-7b43219a94eb.jpg
Warriors of the Eternal Sun,1992,3.64,n/a,Role-Playing - Western-Style,"Warriors of the Eternal Sun is a role-playing video game developed for the Sega Genesis in 1992 by Westwood Associates. The game tells the story of a party of adventurers who have been transported to an unknown world and must survive against its hostile inhabitants while learning about their new home and seeking allies. It is based on the Dungeons & Dragons (D&D) game rules, and uses creatures and themes from the D&D Hollow World campaign setting, such as Blacklore elves, the Azcans, beastmen, Malpheggi lizardmen, and dinosaurs.",https://images.launchbox-app.com/e57f6b94-3352-463f-87ed-c402bc72f9d9.jpg
Wings of Wor,1991,3.64,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,Wings of War is a World War I combat flight simulator developed by Czech studio Silver Wish Games and published by Gathering of Developers for Microsoft Windows and Xbox in 2004. The game was a standard wartime flight simulator with the underused setting of World War I. Players assume the role of a Royal Air Force pilot fighting the Luftstreitkräfte in several missions.,https://images.launchbox-app.com/7146d880-9864-4d86-8672-20934f4b1ca2.png
Ghostbusters,1990-06-29,3.63,n/a,Action - Platformer - 2D,"Ghostbusters is a 1984 American fantasy comedy film produced and directed by Ivan Reitman and written by Dan Aykroyd and Harold Ramis. It stars Bill Murray, Aykroyd and Ramis as Peter Venkman, Ray Stantz and Egon Spengler, eccentric parapsychologists who start a ghost-catching business in New York City. Sigourney Weaver and Rick Moranis co-star as their client Dana Barrett and her neighbor Louis Tully.",https://images.launchbox-app.com/d99216fc-cfc3-4dd9-8727-b1cc42f7678f.jpg
King's Bounty: The Conqueror's Quest,1991,3.63,n/a,Strategy - Turn-Based - General,"King's Bounty is a turn-based fantasy video game designed by Jon Van Caneghem and published by New World Computing in 1990. The game follows the player's character, a hero of King Maximus, appointed with the job of retrieving the Sceptre of Order from the forces of chaos, led by Arech Dragonbreath. King's Bounty is notably considered the forerunner of the Heroes of Might and Magic series of games, while it was itself clearly ""inspired"" by the game Chaos: The Battle of Wizards for the ZX Spectrum.",https://images.launchbox-app.com/3c8f601e-155c-4043-82c3-4ef0fca74e16.jpg
Mega Games 2,1993,3.63,n/a,Miscellaneous - Compilation,"A megagame is a type of large-scale simulation which can contain elements of role-playing games, tabletop games, LARPs and wargames - the amount of these is dependant on the scenario being played and the way the players choose to engage with the scenario. Participants can be arranged into hierarchies of teams - some games will consist of multiple competing factions and others will have teams operating in different game 'niches'. Megagames have been played with up to 300 people, though are more usually played with 30-80 players.",https://images.launchbox-app.com/3e3903d5-2a9f-4854-9ce3-82510e01ac55.jpg
Dragon Ball Z: Buyuu Retsuden,1994,3.62,n/a,Action - Fighting - 2D,"Dragon Ball Z: Buyū Retsuden, released as Dragon Ball Z: L'Appel du Destin (Dragon Ball Z: The Call of Destiny) in France and Spain and as Dragon Ball Z in Portugal, is a fighting game released for the Sega Genesis/Mega Drive based on the Dragon Ball franchise. Due to the popularity of the Dragon Ball Z anime in these European countries, it was released in Japan on April 1, 1994, and in Europe (France and Spain) in June 1994. The French/Spanish version was renamed Dragon Ball Z: L'Appel du Destin (""The Call of Destiny"") and has the game translated to French language and the instruction booklet in French and Spanish languages. The game was also distributed in Portugal in 1996 where it is called Dragon Ball Z. The distributor, Ecofilmes, would take Japanese copies of the game, replace the cover and the manual (but keep the cart), and sell the game as is, promising a free converter cart as the Japanese cartridges cannot fit into European Mega Drives. When the French version came out, they switched to using that version instead.",https://images.launchbox-app.com/81d3a2e9-48c7-4c62-8762-4deabaa7e185.png
Ecco the Dolphin,1993-07-29,3.62,n/a,Action - Platformer - 2D,"Ecco the Dolphin is an action-adventure game originally developed by Ed Annunziata and Novotrade International for the Sega Genesis known as the Mega Drive in regions outside of North America and published by Sega in 1992. Ecco the Dolphin was republished digitally via Nintendo's Virtual Console in 2006, Microsoft's Xbox Live Arcade, Steam, iOS, and Nintendo 3DS",https://images.launchbox-app.com/7ed60cee-9c3f-4a3d-8986-5e456ec17430.jpg
Buck Rogers: Countdown to Doomsday,1991,3.61,n/a,Role-Playing - Western-Style,"Buck Rogers: Countdown to Doomsday is a role-playing video game released by Strategic Simulations in 1990, set in the Buck Rogers XXVC game setting.",https://images.launchbox-app.com/c3680095-416a-4efb-ac38-b93515b92bbb.jpg
Road Rash,1992-11-19,3.61,n/a,Racing - Arcade - Automobile,"Road Rash is a motorcycle-racing video game series by Electronic Arts in which the player participates in violent, illegal street races. The series started on the Sega Genesis and was released on various other systems over the years. The game's title is based on the slang term for the severe friction burns that can occur in a motorcycle fall where skin comes into contact with the ground at high speed.",https://images.launchbox-app.com/072b5e06-a1a7-4595-96f5-f1d0e6594d26.jpg
